,Unnamed: 0,編號,格式名,Class Name,訂單狀態,訂單日期,訂單歸戶碼,商品歸戶碼,訂購人歸戶碼,其他,備註,Required headers,js
0,,636,"taobaotw
淘寶台灣",TAOBAOTW_1588842320,"""狀態""","""訂單日期""","""主訂單編號""","""SKU""",,"""單價""",,"狀態,主訂單編號,SKU","{""order_external_id"":[""主訂單編號""],
    ""order_status"":[""狀態""],
    ""order_date"":[""訂單日期""],
    ""product_external_id"":[""SKU""],
    ""client_external_id"":[[""收件者電話"",""信箱""]],
    ""others"":[""單價""]}"
1,,635,"Accupass
活動通 2020 訂單資訊",ACCUPASS_1562839149,"""狀態""","""報名時間(GTM+8)""","""訂單編號""",,,,,"狀態,訂單編號,","{""order_external_id"":[""訂單編號""],
    ""order_status"":[""狀態""],
    ""order_date"":[""報名時間(GTM+8)""],
    ""product_external_id"":[],
    ""client_external_id"":[[""訂購人手機"", ""訂購人Email"", ""會員編號"", ""參加人手機"", ""參加人Email""]],
    ""others"":[]}"
2,,634,"flyingV
群眾募資",FLYINGVCC_1587384346,,"""訂單建立時間""",,"""回饋 ID""","""USER_ID""",,,",訂單建立時間"" , ""USER_ID"",回饋 ID","{""order_external_id"":[""訂單建立時間"" , ""USER_ID""],
    ""order_status"":[],
    ""order_date"":[""訂單建立時間""],
    ""product_external_id"":[""回饋 ID""],
    ""client_external_id"":[""“USER_ID""""],
    ""others"":[]}"
3,,562,Yahoo 購物中心,YAHOO_1580700991,"""訂單狀態""","""轉單日""","""訂單編號""","""供應商料號""",,,,"訂單狀態,訂單編號,供應商料號","{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""轉單日""],
    ""product_external_id"":[""供應商料號""],
    ""client_external_id"":[[""收件人手機"", ""收件人電話(日)"", ""收件人電話(夜)""]],
    ""others"":[]}"
4,,465,"Ruten
露天拍賣",RUTEN_1576736570,"""交易狀態""","""賣出時間""",,,,,,"交易狀態,買家帳號 , ""賣出時間"",""賣家自用料號""","{""order_external_id"":[""買家帳號 , ""賣出時間""],
    ""order_status"":[""交易狀態""],
    ""order_date"":[""賣出時間""],
    ""product_external_id"":[""賣家自用料號""],
    ""client_external_id"":[[""手機"", ""電話"", ""買家帳號""]],
    ""others"":[""交易狀態""]}"
5,,464,"Ruten
露天拍賣 出貨",RUTEN_1576736471,,"""結帳時間""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""  ""],
    ""order_date"":[""結帳時間""],
    ""product_external_id"":[""賣家自用料號""],
    ""client_external_id"":[[""手機"", ""電話"", ""買家帳號""]],
    ""others"":[""交易狀態""]}"
6,,480,"好學網
報名名單",UKNOWIKNOW_1578643917,"""訂單狀態""","""報名時間""",,,,,報名名單無產品,,"{""order_external_id"":["" ""報名時間"" , ""報名序號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""報名時間""],
    ""product_external_id"":[],
    ""client_external_id"":[[""手機"", ""E-mail""]],
    ""others"":[]}"
7,,471,"Easy store
簡單開店 會員
",EASYSTORE_1577425899,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""Phone"", ""Email"", ""_client_id_""]],
    ""others"":[""FirstName"" , ""LastName""]}"
8,,470,"Easy store
簡單開店
",EASYSTORE_1577425823,"""Fulfillment Status""","""Date""",,"""ItemSKU""",,,,,"{""order_external_id"":[""OrderNumber""],
    ""order_status"":[""Fulfillment Status""],
    ""order_date"":[""Date""],
    ""product_external_id"":[""ItemSKU""],
    ""client_external_id"":[[""BillingPhone"", ""BillingEmail"", ""FulfillmentPhone"", ""FulfillmentEmail"", ""full_name""]],
    ""others"":[""OrderNumber"", ""ItemDiscount"",""ItemPrice"", ""Quantity""]}"
9,,461,Cyberbiz,CYBERBIZ_1576554753,"""訂單狀態""","""時間""","""訂單編號""",,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""時間""],
    ""product_external_id"":[[""SKU"", ""商品廠商編號""]],
    ""client_external_id"":[[""付款人電話"", ""Email"", ""訂購人""]],
    ""others"":["" ""訂單編號"", ""小計""]}"
10,,392,"嘖嘖
zeczec
",ZECZEC_1571969000,,"""訂單確認時間""","""訂單編號""","""贊助選項ID""",,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""訂單確認時間""],
    ""product_external_id"":[""贊助選項ID""],
    ""client_external_id"":[""電話"", ""電子信箱""],
    ""others"":[""選項價錢""]}"
11,,390,WordPress,WORDPRESS_1571821718,"""Order Status""","""Order Date""","""OrderID""",,,,,,"{""order_external_id"":[""OrderID""],
    ""order_status"":[""Order Status""],
    ""order_date"":[""Order Date""],
    ""product_external_id"":[[""SKU"", ""VariationsSKU""]],
    ""client_external_id"":[[""BillingPhone"", ""BillingEmail""]],
    ""others"":[""SalePrice"", ""Purchased""]}"
12,,389,"citiesocial
找好東西
",CITIESOCIAL_1571824538,,"""PO 日期""","""PO號碼""",,"""收件人電話""",,,,"{""order_external_id"":[""PO號碼""],
    ""order_status"":[],
    ""order_date"":[""PO 日期""],
    ""product_external_id"":[],
    ""client_external_id"":[""收件人電話""],
    ""others"":[""金額"", ""購買數量"" , ""PO 號碼""]}"
13,,370,"PChome 商店街
訂單查詢",PCHOME_1586403898,,"""訂購日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""訂購日期""],
    ""product_external_id"":[[""店家料號"", ""商品編號""]],
    ""client_external_id"":[""訂購人""],
    ""others"":[""數量"", ""金額小計"", ""訂單編號""""]}"
14,,369,"你知我知
好學網 會員",UKNOWIKNOW_1568971119,,,,,,,會員登入資料,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""帳號(Email)"", ""會員ID""]],
    ""others"":[]}"
15,,368,"ORDERLY
物流商品代號表",ORDERLY_LOGISTICS,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[],
    ""others"":[""商品編號"",""商品規格""]}"
16,,367,"你知我知
好學網",UKNOWIKNOW_1568271794,,"""課程日期""","""訂單編號""","""課程ID""",,"""票種名稱""",,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""課程日期""],
    ""product_external_id"":[""課程ID""],
    ""client_external_id"":[[""訂購人手機"", ""訂購人信箱"", ""參加人手機"", ""參加人信箱"", ""訂購人姓名""]],
    ""others"":[""“票種名稱""""]}"
17,,366,"Shopline
分潤訂單",SHOPLINE_1568084128,"""訂單狀態""","""訂單日期""",,,,,,,"{""order_external_id"":[""訂單號碼""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""訂單日期""],
    ""product_external_id"":[],
    ""client_external_id"":[],
    ""others"":[[""活動名稱"", ""推薦類型"", ""訂單回饋"", ""推薦回饋""]]}"
18,,338,產品組合對應表,ORDERLY_PACKAGES,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[],
    ""others"":[]}"
19,,334,"UDN 買東西 / 有設計
訂單查詢",UDN_1562578427,,"""訂購日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""訂購日期""],
    ""product_external_id"":[""廠商料號""],
    ""client_external_id"":[""訂購日期""],
    ""others"":[""訂單編號"", ""原售價-小計"",""進貨價-小計""]}"
20,,333,"BOOKS 博客來
訂單查詢",BOOKSTW_1562163244,"""訂單狀態""","""轉單日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""轉單日期""],
    ""product_external_id"":[""貨號""],
    ""client_external_id"":[""聯絡電話""],
    ""others"":[]}"
21,,306,"SHOP123
會員",SHOP123TW_1559814091,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""帳號"", ""信箱""]],
    ""others"":[]}"
22,,305,91APP 會員,A91APP_1559799149,,,,,,,單純會員資料 無訂購資料,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""手機號碼"", ""電子郵件"", ""91APP會員編號"", ""91APP實體會員編號"", ""會員姓名""]],
    ""others"":[]}"
23,,303,WACA 會員,WACA_1559798054,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""電話"", ""Email""]],
    ""others"":[]}"
24,,300,特力屋,TRPLUSTW_1558954487,,"""訂單日期""","""訂單號碼""","""商品編號""",,,,,"{""order_external_id"":[""訂單號碼""],
    ""order_status"":[],
    ""order_date"":[""訂單日期""],
    ""product_external_id"":[""商品編號""],
    ""client_external_id"":[[""手機"", ""電話""]],
    ""others"":[""成本(未稅)"", ""數量""]}"
25,,262,"Accupass
活動通 2020",ACCUPASS_1562839149,,"""報名時間(GTM+8)""","""訂單編號""",,,,報名資料 無商品,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[],
    ""order_date"":[""報名時間(GTM+8)""],
    ""product_external_id"":[],
    ""client_external_id"":[[""訂購人手機"", ""訂購人Email"", ""會員編號"", ""參加人手機"", ""參加人Email""]],
    ""others"":[]}"
26,,260,91APP,A91APP_1556696263,"""訂單狀態""","""轉單日期時間""","""主單編號""","""商品料號""",,,,,"{""order_external_id"":[""主單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""轉單日期時間""],
    ""product_external_id"":[""商品料號""],
    ""client_external_id"":[[""收件人電話"", ""91APP會員編號"", ""91APP實體會員編號"", ""購買人"", ""收件人""]],
    ""others"":[""收件人"",""商品單價"", ""數量"",""總成本"",""折抵點數"", ""點數折扣金額"", ""活動折扣金額"", ""折價券折扣金額"", ""折扣金額"",""運費""]}"
27,,259,"Yahoo
超級商城",YAHOO_1556694212,"""訂單狀態""","""轉單日期""",,,,,,,"{""order_external_id"":[[""交易序號"", ""訂單編號""]],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""轉單日期""],
    ""product_external_id"":[""店家商品料號""],
    ""client_external_id"":[[""訂購人行動電話"",
            ""收件人行動電話"",
            ""收件人電話"",
            ""收件人電話(日)"", ""收件人電話(夜)""]],
    ""others"":[[""交易序號"", ""訂單編號""], ""金額小計"" ,""數量""]}"
28,,258,康德 ERP 會員,KANTECHTW_1556540881,,,,,,,,,"{""order_external_id"":[],
    ""order_status"":[],
    ""order_date"":[],
    ""product_external_id"":[],
    ""client_external_id"":[[""會員編號"", ""手機"", ""聯絡電話"", ""電子郵件信箱""]],
    ""others"":[]}"
29,,257,康德 ERP,KANTECHTW_1554889513,"""訂單狀態""","""訂單日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""訂單日期""],
    ""product_external_id"":[[""商品條碼"", ""物品編號"", ""採購貨號""]],
    ""client_external_id"":[""會員編號""],
    ""others"":[""金額小計"", ""數量"", ""訂單編號""]}"
30,,256,"ORDERLY 
訂單格式",ORDERLY_ORDERS,"""訂單狀態""","""訂購日期""",,,,,,,"{""order_external_id"":[""訂單編號""],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""訂購日期""],
    ""product_external_id"":[""商品編號""],
    ""client_external_id"":[[""會員編號"", ""手機號碼"", ""Email""]],
    ""others"":[""商品售價"", ""數量"", ""商品小計""商品小計"" ""order_total_price""]}"
31,,256,"Google Sheet
(ORDERLY)",GOOGLE_SHEETS,"""訂單狀態""","""訂購日期""",,,,,,,"{""order_external_id"":[],
    ""order_status"":[""訂單狀態""],
    ""order_date"":[""訂購日期""],
    ""product_external_id"":[],
    ""client_external_id"":[],
    ""others"":[]}"
